datePk;dateId;dateYear;dateYearISO;dateMonthYear;dateWeekYearISO;dateQuarterYear;dateMonth;dateDay;dateDaySuffix;dateWeekDay;dateWeekDayName;dateWeekDayNameShort;dateWeekDayNameFirstLetter;dateDayOfYear;dateWeekOfMonth;dateWeekOfYear;dateWeekOfYearISO;dateMonthName;dateMonthNameShort;dateMonthNameFirstLetter;dateQuarter;dateQuarterName;dateQuarterShort;dateIsWeekend;dateIsHolidayInd;dateWeekDayStartsMonday;dateWeekDayNamePL;dateMonthNamePL;dateWeekOfYearStartsMonday;firstDayWorkBefore;firstDayWorkAfter;firstDayNoHolidayNoSaturdayAfter;firstDayNoHolidayNoSundayAfter;firstDayNoHolidayNoSaturdayAfterData;firstDayNoSaturdayNoHolidayOrSundayHolidayName;firstDayNoSaturdayNoHolidayOrSundayHolidayIsHoliday;firstDayNoSaturdayNoHolidayOrSundayHoliday;isThuHolyday;isFriHolyday;isSatHolyday;isWeekendParcelServiceBreakInd;courierBillingPeriodDateFk;courierBillingPeriodStartDateFk;courierBillingPeriodEndDateFk;xlsDate;dwhDateFrom;dwhDateTo;dwhCurrRec;dwhAuditCd;dwhAuditCp;dwhAuditMd;dwhAuditMp
20220528;2022-05-28;2022;2022;05.2022;T21-2022;Q2-2022;5;28;th;7;Saturday;SAT;S;148;4;22;21;May;MAY;M;2;Second;Qtr 2;1;0;6;Sobota;Maj;22;20220527;20220530;20220529;20220530;20220529;SUN;0;20220529;0;0;0;0;20220516;20220516;20220531;44709;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20220809;2022-08-09;2022;2022;08.2022;T32-2022;Q3-2022;8;9;th;3;Tuesday;TUE;T;221;2;33;32;August;AUG;A;3;Third;Qtr 3;0;0;2;Wtorek;Sierpień;33;20220808;20220810;20220810;20220810;20220810;WED;0;20220810;0;0;0;0;20220801;20220801;20220815;44782;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230621;2023-06-21;2023;2023;06.2023;T25-2023;Q2-2023;6;21;st;4;Wednesday;WED;W;172;4;25;25;June;JUN;J;2;Second;Qtr 2;0;0;3;Środa;Czerwiec;26;20230620;20230622;20230622;20230622;20230622;THU;0;20230622;0;0;0;0;20230616;20230616;20230630;45098;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230531;2023-05-31;2023;2023;05.2023;T22-2023;Q2-2023;5;31;st;4;Wednesday;WED;W;151;5;22;22;May;MAY;M;2;Second;Qtr 2;0;0;3;Środa;Maj;23;20230530;20230601;20230601;20230601;20230601;THU;0;20230601;0;0;0;0;20230516;20230516;20230531;45077;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230606;2023-06-06;2023;2023;06.2023;T23-2023;Q2-2023;6;6;th;3;Tuesday;TUE;T;157;2;23;23;June;JUN;J;2;Second;Qtr 2;0;0;2;Wtorek;Czerwiec;24;20230605;20230607;20230607;20230607;20230607;WED;0;20230607;0;0;0;0;20230601;20230601;20230615;45083;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230812;2023-08-12;2023;2023;08.2023;T32-2023;Q3-2023;8;12;th;7;Saturday;SAT;S;224;2;32;32;August;AUG;A;3;Third;Qtr 3;1;0;6;Sobota;Sierpień;33;20230811;20230814;20230813;20230814;20230813;SUN;0;20230813;0;0;0;0;20230801;20230801;20230815;45150;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230611;2023-06-11;2023;2023;06.2023;T23-2023;Q2-2023;6;11;th;1;Sunday;SUN;S;162;3;24;23;June;JUN;J;2;Second;Qtr 2;1;0;7;Niedziela;Czerwiec;24;20230609;20230612;20230612;20230612;20230612;MON;0;20230612;0;0;0;0;20230601;20230601;20230615;45088;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230609;2023-06-09;2023;2023;06.2023;T23-2023;Q2-2023;6;9;th;6;Friday;FRI;F;160;2;23;23;June;JUN;J;2;Second;Qtr 2;0;0;5;Piątek;Czerwiec;24;20230607;20230612;20230611;20230610;20230611;SUN;0;20230611;1;0;0;0;20230601;20230601;20230615;45086;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20220110;2022-01-10;2022;2022;01.2022;T2-2022;Q1-2022;1;10;th;2;Monday;MON;M;10;3;3;2;January;JAN;J;1;First;Qtr 1;0;0;1;Poniedziałek;Styczeń;3;20220107;20220111;20220111;20220111;20220111;TUE;0;20220111;0;0;0;0;20220101;20220101;20220115;44571;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20221204;2022-12-04;2022;2022;12.2022;T48-2022;Q4-2022;12;4;th;1;Sunday;SUN;S;338;2;50;48;December;DEC;D;4;Fourth;Qtr 4;1;0;7;Niedziela;Grudzień;49;20221202;20221205;20221205;20221205;20221205;MON;0;20221205;0;0;0;0;20221201;20221201;20221215;44899;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20221028;2022-10-28;2022;2022;10.2022;T43-2022;Q4-2022;10;28;th;6;Friday;FRI;F;301;5;44;43;October;OCT;O;4;Fourth;Qtr 4;0;0;5;Piątek;Październik;44;20221027;20221031;20221030;20221029;20221030;SUN;0;20221030;0;0;0;0;20221016;20221016;20221031;44862;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20221107;2022-11-07;2022;2022;11.2022;T45-2022;Q4-2022;11;7;th;2;Monday;MON;M;311;2;46;45;November;NOV;N;4;Fourth;Qtr 4;0;0;1;Poniedziałek;Listopad;46;20221104;20221108;20221108;20221108;20221108;TUE;0;20221108;0;0;0;0;20221101;20221101;20221115;44872;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20220717;2022-07-17;2022;2022;07.2022;T28-2022;Q3-2022;7;17;th;1;Sunday;SUN;S;198;4;30;28;July;JUL;J;3;Third;Qtr 3;1;0;7;Niedziela;Lipiec;29;20220715;20220718;20220718;20220718;20220718;MON;0;20220718;0;0;0;0;20220716;20220716;20220731;44759;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20210924;2021-09-24;2021;2021;09.2021;T38-2021;Q3-2021;9;24;th;6;Friday;FRI;F;267;4;39;38;September;SEP;S;3;Third;Qtr 3;0;0;5;Piątek;Wrzesień;39;20210923;20210927;20210926;20210925;20210926;SUN;0;20210926;0;0;0;0;20210916;20210916;20210930;44463;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
